MOTIVATION,CATEGORY,HIERARCHY,INVENTORY,STORY
deficiency,basic,physiological,physical well-being,air
deficiency,basic,physiological,physical well-being,food
deficiency,basic,physiological,physical well-being,movement/exercise
deficiency,basic,physiological,physical well-being,reproduction
deficiency,basic,physiological,physical well-being,rest/sleep
deficiency,basic,physiological,physical well-being,safety
deficiency,basic,physiological,physical well-being,sexual expression
deficiency,basic,physiological,physical well-being,shelter
deficiency,basic,physiological,physical well-being,sleep
deficiency,basic,physiological,physical well-being,touch
deficiency,basic,physiological,physical well-being,water
deficiency,basic,safety,connection,employment
deficiency,basic,safety,connection,health
deficiency,basic,safety,connection,property
deficiency,basic,safety,connection,resources
deficiency,basic,safety,connection,safety
deficiency,basic,safety,connection,security
deficiency,basic,safety,connection,stability
deficiency,basic,safety,connection,warmth
growth,fulfillment,self-actualization,meaning,awareness
growth,fulfillment,self-actualization,meaning,celebration of life
growth,fulfillment,self-actualization,meaning,challenge
growth,fulfillment,self-actualization,meaning,clarity
growth,fulfillment,self-actualization,meaning,competence
growth,fulfillment,self-actualization,meaning,consciousness
growth,fulfillment,self-actualization,meaning,contribution
growth,fulfillment,self-actualization,meaning,creativity
growth,fulfillment,self-actualization,meaning,discovery
growth,fulfillment,self-actualization,meaning,effectiveness
growth,fulfillment,self-actualization,meaning,efficacy
growth,fulfillment,self-actualization,meaning,growth
growth,fulfillment,self-actualization,meaning,hope
growth,fulfillment,self-actualization,meaning,learning
growth,fulfillment,self-actualization,meaning,mourning
growth,fulfillment,self-actualization,meaning,participation
growth,fulfillment,self-actualization,meaning,purpose
growth,fulfillment,self-actualization,meaning,self-expression
growth,fulfillment,self-actualization,meaning,stimulation
growth,fulfillment,self-actualization,meaning,to matter
growth,fulfillment,self-actualization,meaning,understanding
growth,fulfillment,self-actualization,peace,beauty
growth,fulfillment,self-actualization,peace,communion
growth,fulfillment,self-actualization,peace,ease
growth,fulfillment,self-actualization,peace,equality
growth,fulfillment,self-actualization,peace,harmony
growth,fulfillment,self-actualization,peace,inspiration
growth,fulfillment,self-actualization,peace,order
growth,fulfillment,self-actualization,play,humor
growth,fulfillment,self-actualization,play,joy
deficiency,psychological,belonging,connection,acceptance
deficiency,psychological,belonging,connection,affection
deficiency,psychological,belonging,connection,appreciation
deficiency,psychological,belonging,connection,be understood
deficiency,psychological,belonging,connection,belonging
deficiency,psychological,belonging,connection,closeness
deficiency,psychological,belonging,connection,communication
deficiency,psychological,belonging,connection,community
deficiency,psychological,belonging,connection,companionship
deficiency,psychological,belonging,connection,compassion
deficiency,psychological,belonging,connection,consideration
deficiency,psychological,belonging,connection,consistency
deficiency,psychological,belonging,connection,cooperation
deficiency,psychological,belonging,connection,empathy
deficiency,psychological,belonging,connection,family
deficiency,psychological,belonging,connection,inclusion
deficiency,psychological,belonging,connection,intimacy
deficiency,psychological,belonging,connection,love
deficiency,psychological,belonging,connection,mutuality
deficiency,psychological,belonging,connection,nurturing
deficiency,psychological,belonging,connection,support
deficiency,psychological,belonging,connection,to know and be known
deficiency,psychological,belonging,connection,to see and be seen
deficiency,psychological,belonging,connection,to understand and
deficiency,psychological,belonging,connection,trust
deficiency,psychological,esteem,autonomy,choice
deficiency,psychological,esteem,autonomy,freedom
deficiency,psychological,esteem,autonomy,independence
deficiency,psychological,esteem,autonomy,space
deficiency,psychological,esteem,autonomy,spontaneity
deficiency,psychological,esteem,connection,respect/self-respect
deficiency,psychological,esteem,connection,status
deficiency,psychological,esteem,honesty,authenticity
deficiency,psychological,esteem,honesty,integrity
deficiency,psychological,esteem,honesty,presence
